1.535.128.731;[sample number];[timestamp per row];[timestamp from unix to excel friendly with timezone offset];[second];[binomial];[label];;FECHA Y HORA INICIAL;;
4;;;;;;;;11:38:51;;
5.731.511;1970;1535129223,50;11:47:03,50;492,5;0;nonseizure;;;;
5.698.210;1971;1535129223,75;11:47:03,75;492,75;0;nonseizure;;;;
5.662.348;1972;1535129224,00;11:47:04,00;493;0;nonseizure;;;;
5.629.048;1973;1535129224,25;11:47:04,25;493,25;0;nonseizure;;;;
5.604.712;1974;1535129224,50;11:47:04,50;493,5;0;nonseizure;;;;
5.576.535;1975;1535129224,75;11:47:04,75;493,75;0;nonseizure;;;;
5.562.447;1976;1535129225,00;11:47:05,00;494;0;nonseizure;;;;
5.539.392;1977;1535129225,25;11:47:05,25;494,25;0;nonseizure;;;;
5.530.427;1978;1535129225,50;11:47:05,50;494,5;0;nonseizure;;;;
5.507.372;1979;1535129225,75;11:47:05,75;494,75;0;nonseizure;;;;
5.481.757;1980;1535129226,00;11:47:06,00;495;0;nonseizure;;;;
5.466.387;1981;1535129226,25;11:47:06,25;495,25;0;nonseizure;;;;
5.448.456;1982;1535129226,50;11:47:06,50;495,5;0;nonseizure;;;;
5.439.491;1983;1535129226,75;11:47:06,75;495,75;0;nonseizure;;;;
5.419.440;1984;1535129227,00;11:47:07,00;496;0;nonseizure;;;;
5.398.948;1985;1535129227,25;11:47:07,25;496,25;0;nonseizure;;;;
5.386.140;1986;1535129227,50;11:47:07,50;496,5;0;nonseizure;;;;
5.364.367;1987;1535129227,75;11:47:07,75;496,75;0;nonseizure;;;;
5.346.436;1988;1535129228,00;11:47:08,00;497;0;nonseizure;;;;
5.332.346;1989;1535129228,25;11:47:08,25;497,25;0;nonseizure;;;;
5.314.415;1990;1535129228,50;11:47:08,50;497,5;0;nonseizure;;;;
5.300.327;1991;1535129228,75;11:47:08,75;497,75;0;nonseizure;;;;
5.284.957;1992;1535129229,00;11:47:09,00;498;0;nonseizure;;;;
5.283.677;1993;1535129229,25;11:47:09,25;498,25;0;nonseizure;;;;
5.274.711;1994;1535129229,50;11:47:09,50;498,5;0;nonseizure;;;;
5.241.410;1995;1535129229,75;11:47:09,75;498,75;0;nonseizure;;;;
5.228.602;1996;1535129230,00;11:47:10,00;499;0;nonseizure;;;;
5.214.514;1997;1535129230,25;11:47:10,25;499,25;0;nonseizure;;;;
5.200.425;1998;1535129230,50;11:47:10,50;499,5;0;nonseizure;;;;
5.194.021;1999;1535129230,75;11:47:10,75;499,75;0;nonseizure;;;;
5.173.529;2000;1535129231,00;11:47:11,00;500;0;nonseizure;;;;
5.164.563;2001;1535129231,25;11:47:11,25;500,25;0;nonseizure;;;;
5.177.371;2002;1535129231,50;11:47:11,50;500,5;0;nonseizure;;;;
5.200.425;2003;1535129231,75;11:47:11,75;500,75;0;nonseizure;;;;
5.314.415;2004;1535129232,00;11:47:12,00;501;0;nonseizure;;;;
5.509.096;2005;1535129232,25;11:47:12,25;501,25;0;nonseizure;;;;
5.683.283;2006;1535129232,50;11:47:12,50;501,5;0;nonseizure;;;;
5.817.767;2007;1535129232,75;11:47:12,75;501,75;0;nonseizure;;;;
5.876.683;2008;1535129233,00;11:47:13,00;502;0;nonseizure;;;;
5.880.525;2009;1535129233,25;11:47:13,25;502,25;0;nonseizure;;;;
5.845.944;2010;1535129233,50;11:47:13,50;502,5;0;nonseizure;;;;
5.789.589;2011;1535129233,75;11:47:13,75;502,75;0;nonseizure;;;;
5.731.954;2012;1535129234,00;11:47:14,00;503;0;nonseizure;;;;
5.675.599;2013;1535129234,25;11:47:14,25;503,25;0;nonseizure;;;;
5.619.244;2014;1535129234,50;11:47:14,50;503,5;0;nonseizure;;;;
5.571.855;2015;1535129234,75;11:47:14,75;503,75;0;nonseizure;;;;
5.543.677;2016;1535129235,00;11:47:15,00;504;0;nonseizure;;;;
5.507.815;2017;1535129235,25;11:47:15,25;504,25;0;nonseizure;;;;
5.477.076;2018;1535129235,50;11:47:15,50;504,5;0;nonseizure;;;;
5.454.022;2019;1535129235,75;11:47:15,75;504,75;0;nonseizure;;;;
5.430.967;2020;1535129236,00;11:47:16,00;505;0;nonseizure;;;;
5.441.214;2021;1535129236,25;11:47:16,25;505,25;0;nonseizure;;;;
5.524.465;2022;1535129236,50;11:47:16,50;505,5;0;nonseizure;;;;
5.651.264;2023;1535129236,75;11:47:16,75;505,75;0;nonseizure;;;;
5.752.446;2024;1535129237,00;11:47:17,00;506;0;nonseizure;;;;
5.808.801;2025;1535129237,25;11:47:17,25;506,25;0;nonseizure;;;;
5.836.978;2026;1535129237,50;11:47:17,50;506,5;0;nonseizure;;;;
5.816.486;2027;1535129237,75;11:47:17,75;506,75;0;nonseizure;;;;
5.766.535;2028;1535129238,00;11:47:18,00;507;0;nonseizure;;;;
5.706.337;2029;1535129238,25;11:47:18,25;507,25;0;nonseizure;;;;
5.648.702;2030;1535129238,50;11:47:18,50;507,5;0;nonseizure;;;;
5.598.751;2031;1535129238,75;11:47:18,75;507,75;0;nonseizure;;;;
5.591.066;2032;1535129239,00;11:47:19,00;508;0;nonseizure;;;;
5.657.668;2033;1535129239,25;11:47:19,25;508,25;0;nonseizure;;;;
5.828.013;2034;1535129239,50;11:47:19,50;508,5;0;nonseizure;;;;
6.007.324;2035;1535129239,75;11:47:19,75;508,75;0;nonseizure;;;;
6.220.773;2036;1535129240,00;11:47:20,00;509;0;nonseizure;;;;
6.297.621;2037;1535129240,25;11:47:20,25;509,25;0;nonseizure;;;;
6.305.305;2038;1535129240,50;11:47:20,50;509,5;0;nonseizure;;;;
6.255.354;2039;1535129240,75;11:47:20,75;509,75;0;nonseizure;;;;
6.175.945;2040;1535129241,00;11:47:21,00;510;0;nonseizure;;;;
6.105.502;2041;1535129241,25;11:47:21,25;510,25;0;nonseizure;;;;
6.022.251;2042;1535129241,50;11:47:21,50;510,5;0;nonseizure;;;;
5.947.965;2043;1535129241,75;11:47:21,75;510,75;0;nonseizure;;;;
5.922.349;2044;1535129242,00;11:47:22,00;511;0;nonseizure;;;;
5.973.580;2045;1535129242,25;11:47:22,25;511,25;0;nonseizure;;;;
6.050.428;2046;1535129242,50;11:47:22,50;511,5;0;nonseizure;;;;
6.109.344;2047;1535129242,75;11:47:22,75;511,75;0;nonseizure;;;;
6.125.995;2048;1535129243,00;11:47:23,00;512;0;nonseizure;;;;
6.110.625;2049;1535129243,25;11:47:23,25;512,25;0;nonseizure;;;;
6.068.359;2050;1535129243,50;11:47:23,50;512,5;0;nonseizure;;;;
6.014.566;2051;1535129243,75;11:47:23,75;512,75;0;nonseizure;;;;
6.010.724;2052;1535129244,00;11:47:24,00;513;0;nonseizure;;;;
6.134.960;2053;1535129244,25;11:47:24,25;513,25;0;nonseizure;;;;
6.333.483;2054;1535129244,50;11:47:24,50;513,5;0;nonseizure;;;;
6.502.547;2055;1535129244,75;11:47:24,75;513,75;0;nonseizure;;;;
6.659.513;2056;1535129245,00;11:47:25,00;514;0;nonseizure;;;;
6.659.513;2057;1535129245,25;11:47:25,25;514,25;0;nonseizure;;;;
6.592.912;2058;1535129245,50;11:47:25,50;514,5;0;nonseizure;;;;
6.490.449;2059;1535129245,75;11:47:25,75;514,75;0;nonseizure;;;;
6.368.773;2060;1535129246,00;11:47:26,00;515;0;nonseizure;;;;
6.272.714;2061;1535129246,25;11:47:26,25;515,25;0;nonseizure;;;;
6.176.655;2062;1535129246,50;11:47:26,50;515,5;0;nonseizure;;;;
6.129.266;2063;1535129246,75;11:47:26,75;515,75;0;nonseizure;;;;
6.192.024;2064;1535129247,00;11:47:27,00;516;0;nonseizure;;;;
6.322.665;2065;1535129247,25;11:47:27,25;516,25;0;nonseizure;;;;
6.423.848;2066;1535129247,50;11:47:27,50;516,5;0;nonseizure;;;;
6.443.059;2067;1535129247,75;11:47:27,75;516,75;0;nonseizure;;;;
6.430.252;2068;1535129248,00;11:47:28,00;517;0;nonseizure;;;;
6.384.143;2069;1535129248,25;11:47:28,25;517,25;0;nonseizure;;;;
6.312.419;2070;1535129248,50;11:47:28,50;517,5;0;nonseizure;;;;
6.238.133;2071;1535129248,75;11:47:28,75;517,75;0;nonseizure;;;;
6.151.039;2072;1535129249,00;11:47:29,00;518;0;nonseizure;;;;
6.075.472;2073;1535129249,25;11:47:29,25;518,25;0;nonseizure;;;;
6.008.871;2074;1535129249,50;11:47:29,50;518,5;0;nonseizure;;;;
5.953.797;2075;1535129249,75;11:47:29,75;518,75;0;nonseizure;;;;
5.907.689;2076;1535129250,00;11:47:30,00;519;0;nonseizure;;;;
5.871.117;2077;1535129250,25;11:47:30,25;519,25;0;nonseizure;;;;
5.835.255;2078;1535129250,50;11:47:30,50;519,5;0;nonseizure;;;;
5.812.201;2079;1535129250,75;11:47:30,75;519,75;0;nonseizure;;;;
5.785.304;2080;1535129251,00;11:47:31,00;520;0;nonseizure;;;;
5.754.565;2081;1535129251,25;11:47:31,25;520,25;0;nonseizure;;;;
5.755.846;2082;1535129251,50;11:47:31,50;520,5;0;nonseizure;;;;
5.723.826;2083;1535129251,75;11:47:31,75;520,75;0;nonseizure;;;;
5.700.772;2084;1535129252,00;11:47:32,00;521;0;nonseizure;;;;
5.810.920;2085;1535129252,25;11:47:32,25;521,25;0;nonseizure;;;;
6.023.531;2086;1535129252,50;11:47:32,50;521,5;0;nonseizure;;;;
6.252.793;2087;1535129252,75;11:47:32,75;521,75;0;nonseizure;;;;
6.414.173;2088;1535129253,00;11:47:33,00;522;0;nonseizure;;;;
6.469.247;2089;1535129253,25;11:47:33,25;522,25;0;nonseizure;;;;
6.486.607;2090;1535129253,50;11:47:33,50;522,5;0;nonseizure;;;;
6.387.986;2091;1535129253,75;11:47:33,75;522,75;0;nonseizure;;;;
6.270.153;2092;1535129254,00;11:47:34,00;523;0;nonseizure;;;;
6.163.847;2093;1535129254,25;11:47:34,25;523,25;0;nonseizure;;;;
6.046.014;2094;1535129254,50;11:47:34,50;523,5;0;nonseizure;;;;
5.970.448;2095;1535129254,75;11:47:34,75;523,75;0;nonseizure;;;;
5.887.196;2096;1535129255,00;11:47:35,00;524;0;nonseizure;;;;
5.848.063;2097;1535129255,25;11:47:35,25;524,25;0;nonseizure;;;;
5.796.831;2098;1535129255,50;11:47:35,50;524,5;0;nonseizure;;;;
5.746.881;2099;1535129255,75;11:47:35,75;524,75;0;nonseizure;;;;
5.714.860;2100;1535129256,00;11:47:36,00;525;0;nonseizure;;;;
5.686.683;2101;1535129256,25;11:47:36,25;525,25;0;nonseizure;;;;
5.666.191;2102;1535129256,50;11:47:36,50;525,5;0;nonseizure;;;;
5.648.260;2103;1535129256,75;11:47:36,75;525,75;0;nonseizure;;;;
5.623.924;2104;1535129257,00;11:47:37,00;526;0;nonseizure;;;;
5.589.343;2105;1535129257,25;11:47:37,25;526,25;0;nonseizure;;;;
5.566.289;2106;1535129257,50;11:47:37,50;526,5;0;nonseizure;;;;
5.543.235;2107;1535129257,75;11:47:37,75;526,75;0;nonseizure;;;;
5.517.619;2108;1535129258,00;11:47:38,00;527;0;nonseizure;;;;
5.515.057;2109;1535129258,25;11:47:38,25;527,25;0;nonseizure;;;;
5.483.037;2110;1535129258,50;11:47:38,50;527,5;0;nonseizure;;;;
5.475.353;2111;1535129258,75;11:47:38,75;527,75;0;nonseizure;;;;
5.456.141;2112;1535129259,00;11:47:39,00;528;0;nonseizure;;;;
5.440.772;2113;1535129259,25;11:47:39,25;528,25;0;nonseizure;;;;
5.418.159;2114;1535129259,50;11:47:39,50;528,5;0;nonseizure;;;;
5.407.913;2115;1535129259,75;11:47:39,75;528,75;0;nonseizure;;;;
5.383.578;2116;1535129260,00;11:47:40,00;529;0;nonseizure;;;;
5.368.209;2117;1535129260,25;11:47:40,25;529,25;0;nonseizure;;;;
5.355.401;2118;1535129260,50;11:47:40,50;529,5;0;nonseizure;;;;
5.347.716;2119;1535129260,75;11:47:40,75;529,75;0;nonseizure;;;;
5.320.819;2120;1535129261,00;11:47:41,00;530;0;nonseizure;;;;
5.305.450;2121;1535129261,25;11:47:41,25;530,25;0;nonseizure;;;;
5.297.765;2122;1535129261,50;11:47:41,50;530,5;0;nonseizure;;;;
5.281.115;2123;1535129261,75;11:47:41,75;530,75;0;nonseizure;;;;
5.259.342;2124;1535129262,00;11:47:42,00;531;0;nonseizure;;;;
5.249.095;2125;1535129262,25;11:47:42,25;531,25;0;nonseizure;;;;
5.240.129;2126;1535129262,50;11:47:42,50;531,5;0;nonseizure;;;;
5.226.041;2127;1535129262,75;11:47:42,75;531,75;0;nonseizure;;;;
5.213.233;2128;1535129263,00;11:47:43,00;532;0;nonseizure;;;;
5.199.144;2129;1535129263,25;11:47:43,25;532,25;0;nonseizure;;;;
5.195.302;2130;1535129263,50;11:47:43,50;532,5;0;nonseizure;;;;
5.174.809;2131;1535129263,75;11:47:43,75;532,75;0;nonseizure;;;;
5.170.967;2132;1535129264,00;11:47:44,00;533;0;nonseizure;;;;
5.156.878;2133;1535129264,25;11:47:44,25;533,25;0;nonseizure;;;;
5.137.666;2134;1535129264,50;11:47:44,50;533,5;0;nonseizure;;;;
5.126.139;2135;1535129264,75;11:47:44,75;533,75;0;nonseizure;;;;
5.113.331;2136;1535129265,00;11:47:45,00;534;0;nonseizure;;;;
5.101.804;2137;1535129265,25;11:47:45,25;534,25;0;nonseizure;;;;
5.086.435;2138;1535129265,50;11:47:45,50;534,5;0;nonseizure;;;;
5.074.908;2139;1535129265,75;11:47:45,75;534,75;0;nonseizure;;;;
5.067.223;2140;1535129266,00;11:47:46,00;535;0;nonseizure;;;;
5.077.469;2141;1535129266,25;11:47:46,25;535,25;0;nonseizure;;;;
5.097.962;2142;1535129266,50;11:47:46,50;535,5;0;nonseizure;;;;
5.119.735;2143;1535129266,75;11:47:46,75;535,75;0;nonseizure;;;;
5.140.228;2144;1535129267,00;11:47:47,00;536;0;nonseizure;;;;
5.141.509;2145;1535129267,25;11:47:47,25;536,25;0;nonseizure;;;;
5.144.070;2146;1535129267,50;11:47:47,50;536,5;0;nonseizure;;;;
5.131.262;2147;1535129267,75;11:47:47,75;536,75;0;nonseizure;;;;
5.131.262;2148;1535129268,00;11:47:48,00;537;0;nonseizure;;;;
5.109.489;2149;1535129268,25;11:47:48,25;537,25;0;nonseizure;;;;
5.101.804;2150;1535129268,50;11:47:48,50;537,5;0;nonseizure;;;;
5.088.996;2151;1535129268,75;11:47:48,75;537,75;0;nonseizure;;;;
5.092.839;2152;1535129269,00;11:47:49,00;538;0;nonseizure;;;;
5.073.627;2153;1535129269,25;11:47:49,25;538,25;0;nonseizure;;;;
5.058.257;2154;1535129269,50;11:47:49,50;538,5;0;nonseizure;;;;
5.124.858;2155;1535129269,75;11:47:49,75;538,75;0;nonseizure;;;;
5.259.342;2156;1535129270,00;11:47:50,00;539;0;nonseizure;;;;
5.436.091;2157;1535129270,25;11:47:50,25;539,25;0;nonseizure;;;;
5.606.436;2158;1535129270,50;11:47:50,50;539,5;0;nonseizure;;;;
5.716.584;2159;1535129270,75;11:47:50,75;539,75;0;nonseizure;;;;
5.748.604;2160;1535129271,00;11:47:51,00;540;0;nonseizure;;;;
5.734.515;2161;1535129271,25;11:47:51,25;540,25;0;nonseizure;;;;
5.714.023;2162;1535129271,50;11:47:51,50;540,5;0;nonseizure;;;;
5.648.702;2163;1535129271,75;11:47:51,75;540,75;0;nonseizure;;;;
5.580.820;2164;1535129272,00;11:47:52,00;541;0;nonseizure;;;;
5.524.465;2165;1535129272,25;11:47:52,25;541,25;0;nonseizure;;;;
5.475.795;2166;1535129272,50;11:47:52,50;541,5;0;nonseizure;;;;
5.438.653;2167;1535129272,75;11:47:52,75;541,75;0;nonseizure;;;;
5.400.229;2168;1535129273,00;11:47:53,00;542;0;nonseizure;;;;
5.372.051;2169;1535129273,25;11:47:53,25;542,25;0;nonseizure;;;;
5.361.805;2170;1535129273,50;11:47:53,50;542,5;0;nonseizure;;;;
5.400.229;2171;1535129273,75;11:47:53,75;542,75;0;nonseizure;;;;
5.510.376;2172;1535129274,00;11:47:54,00;543;0;nonseizure;;;;
5.639.737;2173;1535129274,25;11:47:54,25;543,25;0;nonseizure;;;;
5.735.796;2174;1535129274,50;11:47:54,50;543,5;0;nonseizure;;;;
5.778.062;2175;1535129274,75;11:47:54,75;543,75;0;nonseizure;;;;
5.776.781;2176;1535129275,00;11:47:55,00;544;0;nonseizure;;;;
5.746.042;2177;1535129275,25;11:47:55,25;544,25;0;nonseizure;;;;
5.687.126;2178;1535129275,50;11:47:55,50;544,5;0;nonseizure;;;;
5.630.771;2179;1535129275,75;11:47:55,75;544,75;0;nonseizure;;;;
5.574.416;2180;1535129276,00;11:47:56,00;545;0;nonseizure;;;;
5.525.746;2181;1535129276,25;11:47:56,25;545,25;0;nonseizure;;;;
5.483.480;2182;1535129276,50;11:47:56,50;545,5;0;nonseizure;;;;
5.456.583;2183;1535129276,75;11:47:56,75;545,75;0;nonseizure;;;;
5.422.002;2184;1535129277,00;11:47:57,00;546;0;nonseizure;;;;
5.406.632;2185;1535129277,25;11:47:57,25;546,25;0;nonseizure;;;;
5.441.214;2186;1535129277,50;11:47:57,50;546,5;0;nonseizure;;;;
5.500.130;2187;1535129277,75;11:47:57,75;546,75;0;nonseizure;;;;
5.556.485;2188;1535129278,00;11:47:58,00;547;0;nonseizure;;;;
5.597.470;2189;1535129278,25;11:47:58,25;547,25;0;nonseizure;;;;
5.630.771;2190;1535129278,50;11:47:58,50;547,5;0;nonseizure;;;;
5.629.490;2191;1535129278,75;11:47:58,75;547,75;0;nonseizure;;;;
5.607.717;2192;1535129279,00;11:47:59,00;548;0;nonseizure;;;;
5.570.574;2193;1535129279,25;11:47:59,25;548,25;0;nonseizure;;;;
5.534.712;2194;1535129279,50;11:47:59,50;548,5;0;nonseizure;;;;
5.501.411;2195;1535129279,75;11:47:59,75;548,75;0;nonseizure;;;;
5.462.987;2196;1535129280,00;11:48:00,00;549;0;nonseizure;;;;
5.436.091;2197;1535129280,25;11:48:00,25;549,25;0;nonseizure;;;;
5.415.598;2198;1535129280,50;11:48:00,50;549,5;0;nonseizure;;;;
5.387.421;2199;1535129280,75;11:48:00,75;549,75;0;nonseizure;;;;
5.382.298;2200;1535129281,00;11:48:01,00;550;0;nonseizure;;;;
5.361.805;2201;1535129281,25;11:48:01,25;550,25;0;nonseizure;;;;
5.331.066;2202;1535129281,50;11:48:01,50;550,5;0;nonseizure;;;;
5.325.943;2203;1535129281,75;11:48:01,75;550,75;0;nonseizure;;;;
5.305.450;2204;1535129282,00;11:48:02,00;551;0;nonseizure;;;;
5.292.642;2205;1535129282,25;11:48:02,25;551,25;0;nonseizure;;;;
5.277.273;2206;1535129282,50;11:48:02,50;551,5;0;nonseizure;;;;
5.272.150;2207;1535129282,75;11:48:02,75;551,75;0;nonseizure;;;;
5.250.376;2208;1535129283,00;11:48:03,00;552;0;nonseizure;;;;
5.235.006;2209;1535129283,25;11:48:03,25;552,25;0;nonseizure;;;;
5.218.356;2210;1535129283,50;11:48:03,50;552,5;0;nonseizure;;;;
5.206.829;2211;1535129283,75;11:48:03,75;552,75;0;nonseizure;;;;
5.238.849;2212;1535129284,00;11:48:04,00;553;0;nonseizure;;;;
5.383.578;2213;1535129284,25;11:48:04,25;553,25;0;nonseizure;;;;
5.602.593;2214;1535129284,50;11:48:04,50;553,5;0;nonseizure;;;;
5.810.082;2215;1535129284,75;11:48:04,75;553,75;0;nonseizure;;;;
5.959.934;2216;1535129285,00;11:48:05,00;554;0;nonseizure;;;;
6.078.605;2217;1535129285,25;11:48:05,25;554,25;0;nonseizure;;;;
6.095.256;2218;1535129285,50;11:48:05,50;554,5;0;nonseizure;;;;
6.049.147;2219;1535129285,75;11:48:05,75;554,75;0;nonseizure;;;;
5.956.930;2220;1535129286,00;11:48:06,00;555;0;nonseizure;;;;
5.877.521;2221;1535129286,25;11:48:06,25;555,25;0;nonseizure;;;;
5.804.516;2222;1535129286,50;11:48:06,50;555,5;0;nonseizure;;;;
5.749.442;2223;1535129286,75;11:48:06,75;555,75;0;nonseizure;;;;
5.708.457;2224;1535129287,00;11:48:07,00;556;0;nonseizure;;;;
5.657.225;2225;1535129287,25;11:48:07,25;556,25;0;nonseizure;;;;
5.625.206;2226;1535129287,50;11:48:07,50;556,5;0;nonseizure;;;;
5.597.028;2227;1535129287,75;11:48:07,75;556,75;0;nonseizure;;;;
5.567.570;2228;1535129288,00;11:48:08,00;557;0;nonseizure;;;;
5.530.427;2229;1535129288,25;11:48:08,25;557,25;0;nonseizure;;;;
5.508.653;2230;1535129288,50;11:48:08,50;557,5;0;nonseizure;;;;
5.490.722;2231;1535129288,75;11:48:08,75;557,75;0;nonseizure;;;;
5.472.791;2232;1535129289,00;11:48:09,00;558;0;nonseizure;;;;
5.449.737;2233;1535129289,25;11:48:09,25;558,25;0;nonseizure;;;;
5.436.929;2234;1535129289,50;11:48:09,50;558,5;0;nonseizure;;;;
5.424.563;2235;1535129289,75;11:48:09,75;558,75;0;nonseizure;;;;
5.407.913;2236;1535129290,00;11:48:10,00;559;0;nonseizure;;;;
5.378.455;2237;1535129290,25;11:48:10,25;559,25;0;nonseizure;;;;
5.359.243;2238;1535129290,50;11:48:10,50;559,5;0;nonseizure;;;;
5.340.031;2239;1535129290,75;11:48:10,75;559,75;0;nonseizure;;;;
5.336.189;2240;1535129291,00;11:48:11,00;560;0;nonseizure;;;;
5.306.731;2241;1535129291,25;11:48:11,25;560,25;0;nonseizure;;;;
5.310.573;2242;1535129291,50;11:48:11,50;560,5;0;nonseizure;;;;
5.293.923;2243;1535129291,75;11:48:11,75;560,75;0;nonseizure;;;;
5.311.854;2244;1535129292,00;11:48:12,00;561;0;nonseizure;;;;
5.454.022;2245;1535129292,25;11:48:12,25;561,25;0;nonseizure;;;;
5.747.323;2246;1535129292,50;11:48:12,50;561,5;0;nonseizure;;;;
6.045.747;2247;1535129292,75;11:48:12,75;561,75;0;nonseizure;;;;
6.397.522;2248;1535129293,00;11:48:13,00;562;0;nonseizure;;;;
6.496.143;2249;1535129293,25;11:48:13,25;562,25;0;nonseizure;;;;
6.589.070;2250;1535129293,50;11:48:13,50;562,5;0;nonseizure;;;;
6.549.365;2251;1535129293,75;11:48:13,75;562,75;0;nonseizure;;;;
6.434.094;2252;1535129294,00;11:48:14,00;563;0;nonseizure;;;;
6.312.419;2253;1535129294,25;11:48:14,25;563,25;0;nonseizure;;;;
6.199.709;2254;1535129294,50;11:48:14,50;563,5;0;nonseizure;;;;
6.099.807;2255;1535129294,75;11:48:14,75;563,75;0;nonseizure;;;;
6.028.083;2256;1535129295,00;11:48:15,00;564;0;nonseizure;;;;
5.966.605;2257;1535129295,25;11:48:15,25;564,25;0;nonseizure;;;;
5.906.408;2258;1535129295,50;11:48:15,50;564,5;0;nonseizure;;;;
5.858.309;2259;1535129295,75;11:48:15,75;564,75;0;nonseizure;;;;
5.818.605;2260;1535129296,00;11:48:16,00;565;0;nonseizure;;;;
5.790.427;2261;1535129296,25;11:48:16,25;565,25;0;nonseizure;;;;
5.787.866;2262;1535129296,50;11:48:16,50;565,5;0;nonseizure;;;;
5.785.304;2263;1535129296,75;11:48:16,75;565,75;0;nonseizure;;;;
5.772.496;2264;1535129297,00;11:48:17,00;566;0;nonseizure;;;;
5.758.408;2265;1535129297,25;11:48:17,25;566,25;0;nonseizure;;;;
5.732.792;2266;1535129297,50;11:48:17,50;566,5;0;nonseizure;;;;
5.722.546;2267;1535129297,75;11:48:17,75;566,75;0;nonseizure;;;;
5.790.427;2268;1535129298,00;11:48:18,00;567;0;nonseizure;;;;
5.968.457;2269;1535129298,25;11:48:18,25;567,25;0;nonseizure;;;;
6.186.192;2270;1535129298,50;11:48:18,50;567,5;0;nonseizure;;;;
6.356.537;2271;1535129298,75;11:48:18,75;567,75;0;nonseizure;;;;
6.421.857;2272;1535129299,00;11:48:19,00;568;0;nonseizure;;;;
6.424.419;2273;1535129299,25;11:48:19,25;568,25;0;nonseizure;;;;
6.371.907;2274;1535129299,50;11:48:19,50;568,5;0;nonseizure;;;;
6.296.340;2275;1535129299,75;11:48:19,75;568,75;0;nonseizure;;;;
6.214.369;2276;1535129300,00;11:48:20,00;569;0;nonseizure;;;;
6.125.995;2277;1535129300,25;11:48:20,25;569,25;0;nonseizure;;;;
6.046.586;2278;1535129300,50;11:48:20,50;569,5;0;nonseizure;;;;
5.996.635;2279;1535129300,75;11:48:20,75;569,75;0;nonseizure;;;;
5.940.280;2280;1535129301,00;11:48:21,00;570;0;nonseizure;;;;
5.890.329;2281;1535129301,25;11:48:21,25;570,25;0;nonseizure;;;;
5.851.905;2282;1535129301,50;11:48:21,50;570,5;0;nonseizure;;;;
5.819.886;2283;1535129301,75;11:48:21,75;570,75;0;nonseizure;;;;
5.791.708;2284;1535129302,00;11:48:22,00;571;0;nonseizure;;;;
5.768.654;2285;1535129302,25;11:48:22,25;571,25;0;nonseizure;;;;
5.741.757;2286;1535129302,50;11:48:22,50;571,5;0;nonseizure;;;;
5.719.984;2287;1535129302,75;11:48:22,75;571,75;0;nonseizure;;;;
5.718.703;2288;1535129303,00;11:48:23,00;572;0;nonseizure;;;;
5.792.989;2289;1535129303,25;11:48:23,25;572,25;0;nonseizure;;;;
5.955.649;2290;1535129303,50;11:48:23,50;572,5;0;nonseizure;;;;
6.149.049;2291;1535129303,75;11:48:23,75;572,75;0;nonseizure;;;;
6.292.498;2292;1535129304,00;11:48:24,00;573;0;nonseizure;;;;
6.347.571;2293;1535129304,25;11:48:24,25;573,25;0;nonseizure;;;;
6.348.852;2294;1535129304,50;11:48:24,50;573,5;0;nonseizure;;;;
6.295.059;2295;1535129304,75;11:48:24,75;573,75;0;nonseizure;;;;
6.199.000;2296;1535129305,00;11:48:25,00;574;0;nonseizure;;;;
6.111.906;2297;1535129305,25;11:48:25,25;574,25;0;nonseizure;;;;
6.038.901;2298;1535129305,50;11:48:25,50;574,5;0;nonseizure;;;;
5.968.457;2299;1535129305,75;11:48:25,75;574,75;0;nonseizure;;;;
5.917.226;2300;1535129306,00;11:48:26,00;575;0;nonseizure;;;;
5.869.836;2301;1535129306,25;11:48:26,25;575,25;0;nonseizure;;;;
5.836.536;2302;1535129306,50;11:48:26,50;575,5;0;nonseizure;;;;
5.799.393;2303;1535129306,75;11:48:26,75;575,75;0;nonseizure;;;;
5.772.496;2304;1535129307,00;11:48:27,00;576;0;nonseizure;;;;
5.741.757;2305;1535129307,25;11:48:27,25;576,25;0;nonseizure;;;;
5.723.826;2306;1535129307,50;11:48:27,50;576,5;0;nonseizure;;;;
5.700.772;2307;1535129307,75;11:48:27,75;576,75;0;nonseizure;;;;
5.677.718;2308;1535129308,00;11:48:28,00;577;0;nonseizure;;;;
5.661.067;2309;1535129308,25;11:48:28,25;577,25;0;nonseizure;;;;
5.641.856;2310;1535129308,50;11:48:28,50;577,5;0;nonseizure;;;;
5.636.733;2311;1535129308,75;11:48:28,75;577,75;0;nonseizure;;;;
5.621.363;2312;1535129309,00;11:48:29,00;578;0;nonseizure;;;;
5.598.309;2313;1535129309,25;11:48:29,25;578,25;0;nonseizure;;;;
5.579.097;2314;1535129309,50;11:48:29,50;578,5;0;nonseizure;;;;
5.562.447;2315;1535129309,75;11:48:29,75;578,75;0;nonseizure;;;;
5.549.639;2316;1535129310,00;11:48:30,00;579;0;nonseizure;;;;
5.535.550;2317;1535129310,25;11:48:30,25;579,25;0;nonseizure;;;;
5.517.619;2318;1535129310,50;11:48:30,50;579,5;0;nonseizure;;;;
5.508.653;2319;1535129310,75;11:48:30,75;579,75;0;nonseizure;;;;
5.486.880;2320;1535129311,00;11:48:31,00;580;0;nonseizure;;;;
5.471.510;2321;1535129311,25;11:48:31,25;580,25;0;nonseizure;;;;
