@ATTRIBUTE scl_mean NUMERIC
@ATTRIBUTE scl_correlation NUMERIC
@ATTRIBUTE scr_mean NUMERIC
@ATTRIBUTE scr_std NUMERIC
@ATTRIBUTE eda_slope NUMERIC
@ATTRIBUTE eda_greater_v NUMERIC
@ATTRIBUTE eda_difference NUMERIC
@ATTRIBUTE eda_mean NUMERIC
@ATTRIBUTE eda_variance NUMERIC
@ATTRIBUTE eda_skewness NUMERIC
@ATTRIBUTE eda_kurtosis NUMERIC

@ATTRIBUTE class {0,1}

@DATA
0.15349,0.99941,0.0026849,0.0011297,0.001024,2,0,0.15737,3.5394e-06,0.29505,0.29505,0
0.1536,0.99943,0.0025298,0.0010597,0.003588,2,0.00256,0.15748,3.7266e-06,0.14397,0.14397,0
0.15372,0.99951,0.0028118,0.00069449,-0.000516,1,0,0.15812,3.4265e-06,0.73703,0.73703,0
0.15384,0.99952,0.0027757,0.0007284,-0.001548,0,-0.00129,0.15844,3.3878e-06,0.41669,0.41669,0
0.15396,0.99987,0.0027936,0.00076304,0.001548,1,0.00129,0.15855,3.3263e-06,0.25569,0.25569,0
0.15409,0.99981,0.0037293,0.0019417,0.006672,2,0.00513,0.15898,3.423e-06,0.036141,0.036141,0
0.15422,0.99983,0.0043155,0.0017434,0.00462,2,0.00257,0.15951,3.7295e-06,0.080233,0.080233,0
0.15435,0.99984,0.0045687,0.0013716,-0.001024,1,0,0.15994,2.9293e-06,0.075024,0.075024,0
0.15449,1,0.0045511,0.0013834,-0.003584,1,-0.00256,0.16015,2.3831e-06,2.833e-14,2.833e-14,0
0.15463,1,0.0040717,0.0006751,0.000512,1,0,0.15994,2.3335e-06,0.32897,0.32897,0
0.15477,0.99985,0.0043831,0.0011781,0.004608,2,0.00384,0.16004,2.2218e-06,0.16452,0.16452,0
0.15492,0.99986,0.004841,0.00090684,0.00256,1,0.00128,0.16058,2.7803e-06,0.63952,0.63952,0
0.15506,0.99986,0.0048569,0.00088351,-0.000512,1,0,0.16068,2.5197e-06,0.64654,0.64654,0
0.15521,0.99991,0.0051948,0.00095361,-0.000512,1,0,0.16079,2.2342e-06,0.71554,0.71554,0
0.15536,0.99986,0.0054435,0.0012935,0.004096,2,0.00256,0.16068,2.2218e-06,0.93116,0.93116,0
0.15551,1,0.0056167,0.001272,0.003584,2,0.00256,0.16068,2.2218e-06,0.93116,0.93116,0
0.15566,0.99987,0.0057021,0.0011205,-0.002048,1,-0.00128,0.16079,1.9363e-06,1.1086,1.1086,0
0.15581,0.99992,0.0049489,0.0017996,-0.00512,0,-0.00384,0.16079,1.9363e-06,1.1086,1.1086,0
0.15596,0.99987,0.0043348,0.0012004,-0.002048,1,-0.00128,0.16058,1.5888e-06,1.6794,1.6794,0
0.15611,0.99986,0.0045532,0.0015685,0.00512,2,0.00384,0.16036,1.7377e-06,1.7483,1.7483,0
0.15626,0.99991,0.0045993,0.0015588,0.003072,2,0.00128,0.16068,2.8176e-06,1.1994,1.1994,0
0.15641,0.99986,0.0046897,0.001427,-0.001536,1,0,0.1609,2.5197e-06,1.1458,1.1458,0
0.15655,0.99986,0.0044447,0.0015469,-0.004608,0,-0.00384,0.161,2.4824e-06,0.97298,0.97298,0
0.1567,0.99991,0.0035637,0.00060148,8.0311e-18,0,0,0.16079,1.6384e-06,1.1394,1.1394,0
0.15685,0.9999,0.0032781,0.00018312,9.9572e-18,0,0,0.1609,1.626e-06,0.91372,0.91372,0
0.15698,0.99949,0.0035001,0.00042512,0.001536,1,0.00128,0.161,1.5888e-06,0.70711,0.70711,0
0.15713,0.99989,0.0032482,0.00064324,0.000512,1,0,0.16111,1.5267e-06,0.51461,0.51461,0
0.15726,0.99989,0.0030682,0.0007818,-0.002048,1,-0.00128,0.16122,1.4398e-06,0.33297,0.33297,0
0.15739,0.99983,0.003559,0.0013613,0.00256,1,0.00256,0.16143,1.4895e-06,2.8474e-14,2.8474e-14,0
0.15752,0.99981,0.0036421,0.0014129,0.003584,1,0.00128,0.16164,2.0356e-06,0.076182,0.076182,0
0.15765,0.9998,0.0038368,0.0012518,0.002048,1,0.00256,0.16196,2.2218e-06,-0.15116,-0.15116,0
0.15777,0.9998,0.0041388,0.00087424,-0.003072,0,-0.00256,0.1626,2.8176e-06,1.1678,1.1678,0
0.1579,0.99987,0.0036522,0.00052648,5.6639e-18,0,0,0.1625,2.6314e-06,1.441,1.441,0
0.15802,0.9998,0.0033647,0.00015418,-5.3674e-17,0,0,0.1626,2.5197e-06,1.356,1.356,0
0.15814,1,0.0033078,0.0002148,3.0234e-17,0,0,0.16271,2.3831e-06,1.299,1.299,0
0.15826,1,0.0031743,0.00012389,-8.1088e-18,0,0,0.16282,2.2218e-06,1.2786,1.2786,0
0.15838,1,0.0034131,0.00056741,0.001536,1,0.00128,0.16303,2.1225e-06,1.0384,1.0384,0
0.1585,1,0.0038349,0.00093044,0.003584,2,0.00256,0.16314,1.8866e-06,1.1441,1.1441,0
0.15862,1,0.0045262,0.0011733,0.003584,2,0.00256,0.16324,1.626e-06,1.3913,1.3913,0
0.15874,1,0.0054313,0.0010566,0.004608,2,0.00384,0.16346,1.3281e-06,1.6931,1.6931,0
0.15886,1,0.0054615,0.0010126,-0.000512,1,-0.00128,0.16356,1.2909e-06,1.5086,1.5086,0
0.15898,1,0.0050456,0.001511,-0.003072,1,-0.00128,0.16356,1.2909e-06,1.5086,1.5086,0
0.1591,0.9998,0.0044459,0.0015655,-0.004608,0,-0.00384,0.16388,2.8176e-06,1.4204,1.4204,0
0.15923,0.99987,0.0036525,0.00048929,4.814e-18,0,0,0.16356,2.1845e-06,2.1654,2.1654,0
0.15935,0.9998,0.0035922,0.00037145,0.001536,1,0.00128,0.16356,2.1845e-06,2.1654,2.1654,0
0.15947,1,0.0035869,0.00037729,0.000512,1,0,0.16367,2.1225e-06,2.0527,2.0527,0
0.15959,1,0.0034672,0.000496,-0.000512,1,0,0.16378,2.0356e-06,1.9807,1.9807,0
0.15971,1,0.0036177,0.00059396,4.6763e-18,1,0,0.16388,1.9239e-06,1.9578,1.9578,0
0.15983,0.99978,0.0035072,0.00050013,0.002048,1,0.00128,0.16388,1.9239e-06,1.9578,1.9578,0
0.15995,0.99985,0.0038669,0.00073256,0.001536,1,0.00128,0.16388,1.9239e-06,1.9578,1.9578,0
0.16006,0.99978,0.0047069,0.0011551,0.004608,1,0.00384,0.16388,1.9239e-06,1.9578,1.9578,0
0.16018,1,0.0044938,0.0013622,6.0876e-17,1,-0.00128,0.16388,1.9239e-06,1.9578,1.9578,0
0.1603,0.99978,0.004075,0.0018587,-0.003584,1,-0.00128,0.16388,1.9239e-06,1.9578,1.9578,0
0.16042,0.99985,0.0037481,0.0018257,-0.004608,1,-0.00384,0.16367,2.4204e-06,1.4477,1.4477,0
0.16053,0.99985,0.0029848,0.0006498,0.002048,1,0.00128,0.16335,7.4473e-07,-0.92952,-0.92952,0
0.16064,0.99977,0.0029819,0.00064825,0.001536,1,0.00128,0.16335,7.4473e-07,-0.92952,-0.92952,0
0.16076,1,0.0032024,0.00021455,5.9115e-17,0,0,0.16335,7.4473e-07,-0.92952,-0.92952,0
0.16087,0.99977,0.0028085,0.00067961,-0.001536,0,-0.00128,0.16346,1.0302e-06,-0.28301,-0.28301,0
0.16098,0.99943,0.0023864,0.00080944,-0.002048,0,-0.00128,0.16324,1.3281e-06,-0.13191,-0.13191,0
0.16109,0.99941,0.0022767,0.00067226,1.8584e-17,1,0,0.16335,1.6384e-06,6.79e-14,6.79e-14,0
0.1612,0.99974,0.002091,0.00053196,0.002048,1,0.00128,0.16346,1.9239e-06,0.0010364,0.0010364,0
0.16131,1,0.0018142,0.00088769,-0.001536,1,-0.00128,0.16356,1.8866e-06,-0.22199,-0.22199,0
0.16141,0.99974,0.0018775,0.0008745,-0.001024,1,0,0.16367,1.8246e-06,-0.45447,-0.45447,0
0.16152,0.99972,0.0014632,0.00065126,-0.000512,1,-0.00128,0.16378,2.0356e-06,-0.48757,-0.48757,0
0.16162,1,0.0012923,0.00047586,0.001024,1,0.00128,0.16388,2.2218e-06,-0.55703,-0.55703,0
0.16172,1,0.0016908,0.00049785,0.001536,1,0.00128,0.1642,1.7377e-06,-0.85964,-0.85964,0
0.16182,1,0.0014034,0.00068428,-0.000512,1,-0.00128,0.16431,1.8246e-06,-0.99984,-0.99984,0
0.16192,1,0.0017213,0.00081109,0.001536,2,0.00256,0.16452,1.626e-06,-1.49,-1.49,0
0.16202,0.99968,0.0021813,0.0010936,0.001536,1,0,0.16463,1.3405e-06,-1.9245,-1.9245,0
0.16211,0.99965,0.0020294,0.001112,0.003072,1,0.00256,0.16474,1.626e-06,-1.3913,-1.3913,0
0.16221,1,0.0023147,0.00073422,-0.002048,0,-0.00128,0.16474,1.626e-06,-1.3913,-1.3913,0
0.16229,1,0.0023708,0.00075343,1.4033e-17,1,0,0.16474,1.626e-06,-1.3913,-1.3913,0
0.16239,1,0.00226,0.00058252,0.002048,1,0.00128,0.16463,1.6384e-06,-1.1394,-1.1394,0
0.16247,0.9996,0.002472,0.00045077,0.001536,1,0.00128,0.16484,1.8866e-06,-1.1441,-1.1441,0
0.16256,0.99973,0.0027192,0.00014737,5.1563e-17,0,0,0.16506,2.0356e-06,-1.3103,-1.3103,0
0.16264,0.99972,0.0025518,0.00040797,6.2531e-17,0,0,0.16516,2.2218e-06,-1.2786,-1.2786,0
0.16273,0.99956,0.0023695,0.00038241,-0.001536,0,-0.00128,0.16527,2.3831e-06,-1.299,-1.299,0
0.16281,1,0.0022643,0.00037428,0.001024,1,0.00128,0.16516,2.5197e-06,-1.0338,-1.0338,0
0.16289,1,0.0015757,0.0010131,-0.003584,1,-0.00384,0.16538,3.1154e-06,-0.80521,-0.80521,0
0.16297,1,0.0013065,0.0010142,-0.000512,2,0.00128,0.16538,3.1154e-06,-0.80521,-0.80521,0
0.16305,0.99949,0.0012137,0.0009259,-0.001536,1,-0.00256,0.16548,2.9293e-06,-1.0283,-1.0283,0
0.16313,0.99965,0.0013681,0.001153,0.005632,2,0.00512,0.16559,3.314e-06,-0.85404,-0.85404,0
0.1632,0.99963,0.0021987,0.0010917,0.00256,1,0.00128,0.16602,1.626e-06,-0.23877,-0.23877,0
0.16328,0.99965,0.0028076,0.00075206,0.003072,1,0.00256,0.16602,1.626e-06,-0.23877,-0.23877,0
0.16335,0.99963,0.0029852,0.00044564,7.0344e-17,0,0,0.16623,1.2288e-06,-0.38374,-0.38374,0
0.16342,0.99944,0.0026753,0.00088333,-0.003072,0,-0.00256,0.16612,1.2909e-06,-0.12069,-0.12069,0
0.1635,1,0.0026332,0.00084135,0.000512,1,0.00128,0.16612,1.2909e-06,-0.12069,-0.12069,0
0.16356,1,0.0023249,0.00071484,-3.654e-17,1,-0.00128,0.16623,1.5267e-06,-0.11876,-0.11876,0
0.16364,1,0.0021183,0.00077327,0.000512,1,0.00128,0.16634,1.7377e-06,-0.18352,-0.18352,0
0.1637,1,0.0026662,0.00095142,7.64e-18,1,0,0.16655,1.1916e-06,0,0,0
0.16378,1,0.0025271,0.00088284,0.00256,1,0.00128,0.16644,1.0302e-06,0.14018,0.14018,0
0.16385,1,0.0024192,0.00097386,-0.000512,1,0,0.16644,1.0302e-06,0.14018,0.14018,0
0.16392,1,0.0025255,0.00088075,-0.002048,1,-0.00128,0.16644,1.0302e-06,0.14018,0.14018,0
0.16398,1,0.0019961,0.00049069,-0.001024,1,-0.00128,0.16634,8.4402e-07,0.22827,0.22827,0
0.16406,1,0.0018918,0.00031666,0.001024,2,0.00128,0.16634,8.4402e-07,0.22827,0.22827,0
0.16412,1,0.0023818,0.00087796,0.002048,2,0.00128,0.16655,8.9367e-07,0,0,0
0.1642,1,0.0026992,0.00095647,0.003584,2,0.00256,0.16687,2.1289e-06,1.0433,1.0433,0
0.16426,1,0.0029104,0.00068088,8.9469e-18,1,0,0.16698,1.8929e-06,1.1493,1.1493,0
0.16434,1,0.0028213,0.00080907,-0.002048,0,-0.00128,0.16708,1.9299e-06,0.90001,0.90001,0
0.16441,1,0.002141,0.0010193,-0.003072,0,-0.00256,0.16719,2.24e-06,0.71973,0.71973,0
0.16447,1,0.0014994,0.00079035,-0.002048,0,-0.00128,0.16719,2.24e-06,0.71973,0.71973,0
0.16455,1,0.0013384,0.00057489,-3.0074e-17,1,0,0.1674,2.4879e-06,0.36569,0.36569,0
0.16461,1,0.0013243,0.00055745,0.002048,1,0.00128,0.16751,2.4256e-06,0.1825,0.1825,0
0.16469,1,0.0019585,0.0011032,0.003072,2,0.00256,0.16805,3.238e-06,0.52267,0.52267,0
0.16475,1,0.0029292,0.0013905,0.005132,2,0.00385,0.16836,2.5294e-06,0.65023,0.65023,0
0.16483,0.99944,0.0030705,0.0012574,0.001028,2,0,0.16879,3.0295e-06,0.4732,0.4732,0
0.1649,0.99963,0.0032856,0.0010262,-0.00154,2,0,0.16911,2.695e-06,0.27429,0.27429,0
0.16497,0.99965,0.003345,0.0010452,-0.001036,2,-0.00129,0.16922,2.5329e-06,0.14047,0.14047,0
0.16505,0.99963,0.0029942,0.00059387,0.002048,2,0.00128,0.16911,2.3948e-06,0.32871,0.32871,0
0.16512,0.99965,0.0031822,0.00041175,0.001024,2,0.00128,0.16933,1.7482e-06,0.70788,0.70788,0
0.1652,0.99963,0.0034122,0.000279,-0.001024,1,-0.00128,0.16933,1.7482e-06,0.70788,0.70788,0
0.16528,0.99965,0.003754,0.00088991,0.004108,2,0.00385,0.16922,1.935e-06,0.73098,0.73098,0
0.16535,0.99949,0.0041214,0.00092032,0.00154,1,0,0.16933,1.7482e-06,0.70788,0.70788,0
0.16543,1,0.0046889,0.00076658,0.003592,2,0.00385,0.16933,1.7482e-06,0.70788,0.70788,0
0.16551,0.99949,0.0050501,0.00026137,-0.000508,1,-0.00128,0.16943,1.5366e-06,0.75501,0.75501,0
0.16558,0.99965,0.0046341,0.00087207,-0.000512,1,0,0.16922,1.0368e-06,1.0078,1.0078,0
0.16566,0.99949,0.0043028,0.0010563,-0.0036,0,-0.00257,0.16922,1.0368e-06,1.0078,1.0078,0
0.16574,0.99949,0.0037361,0.00088861,-0.001548,0,-0.00129,0.16954,3.9843e-06,2.4364,2.4364,0
0.16581,0.99965,0.0029777,0.00065381,-0.001536,0,-0.00128,0.16943,3.9209e-06,2.6572,2.6572,0
0.16589,0.99949,0.0026108,0.00075264,-0.002048,0,-0.00128,0.16954,3.9843e-06,2.4364,2.4364,0
0.16597,1,0.0024883,0.00060624,7.8303e-18,1,0,0.16965,4.0225e-06,2.2421,2.2421,0
0.16605,0.99949,0.0024425,0.00054862,0.002048,1,0.00128,0.16997,4.8826e-06,1.5398,1.5398,0
0.16612,0.99965,0.0027084,0.0005325,0.001536,1,0.00128,0.17039,5.0828e-06,1.1509,1.1509,0
0.1662,0.99949,0.0027889,0.000374,-3.5093e-18,0,0,0.17071,4.5231e-06,1.0818,1.0818,0
0.16628,1,0.0030813,0.0007613,2.2822e-17,0,0,0.17072,4.5231e-06,1.0818,1.0818,0
0.16636,0.99949,0.0041189,0.0021061,0.007692,1,0.00641,0.17071,4.5231e-06,1.0818,1.0818,0
0.16644,0.99965,0.0043829,0.0019962,0.002564,1,0,0.17093,4.3235e-06,0.88674,0.88674,0
0.16651,0.99949,0.0045422,0.0017822,-0.001016,2,0.00129,0.17104,4.0355e-06,0.88426,0.88426,0
0.16659,1,0.00461,0.001764,-0.005628,1,-0.00512,0.17125,3.6856e-06,0.76153,0.76153,0
0.16667,1,0.004267,0.0011545,0.00462,2,0.00385,0.17082,1.896e-06,0.21645,0.21645,0
0.16675,1,0.0047898,0.0014991,0.004096,1,0.00256,0.17104,1.6454e-06,-0.0059313,-0.0059313,0
0.16683,1,0.0052064,0.0009041,0.001536,1,0.00128,0.17104,1.6454e-06,-0.0059313,-0.0059313,0
0.16691,1,0.0046696,0.0017856,-0.005132,0,-0.00385,0.17136,2.4285e-06,0.17334,0.17334,0
0.16699,1,0.0038402,0.0019153,-0.005648,0,-0.00385,0.17104,2.5426e-06,0.43915,0.43915,0
0.16707,1,0.003243,0.0011354,1.1439e-16,1,0,0.17093,2.2317e-06,0.56336,0.56336,0
0.16715,1,0.0030528,0.00087983,0.002576,1,0.00129,0.17082,2.1939e-06,0.78741,0.78741,0
0.16723,1,0.0034102,0.00069273,0.002572,2,0.00257,0.17115,2.2292e-06,0.50582,0.50582,0
0.16731,0.99956,0.003743,8.8371e-05,-0.001024,1,-0.00128,0.17147,2.0399e-06,0.33057,0.33057,0
0.1674,0.99972,0.0035954,0.00023723,0.001024,2,0.00128,0.17157,2.2262e-06,0.16059,0.16059,0
0.16748,0.99956,0.0036685,0.00033788,-0.001024,1,-0.00128,0.17168,2.0899e-06,-0.0043969,-0.0043969,0
0.16756,0.99956,0.0039817,0.00069341,0.004096,2,0.00384,0.17157,2.2262e-06,0.16059,0.16059,0
0.16764,0.99972,0.0037787,0.00089026,-0.001548,1,-0.00257,0.17168,2.0899e-06,-0.0043969,-0.0043969,0
0.16773,0.99973,0.0036329,0.0010407,-0.000516,2,0.00128,0.17168,2.0899e-06,-0.0043969,-0.0043969,0
0.16782,0.9996,0.0034519,0.0010003,-0.00358,1,-0.00384,0.17189,2.0406e-06,-0.33967,-0.33967,0
0.1679,0.9996,0.0033098,0.00073214,0.004108,2,0.00385,0.17168,1.4941e-06,-0.66232,-0.66232,0
0.16799,0.99973,0.0038631,0.001074,0.00256,1,0.00128,0.17189,8.4402e-07,-0.22827,-0.22827,0
0.16808,0.9996,0.0043403,0.00073674,0.003072,1,0.00256,0.172,9.3091e-07,-0.41569,-0.41569,0
0.16817,1,0.0043336,0.0007488,-0.001536,0,-0.00128,0.172,9.3091e-07,-0.41569,-0.41569,0
0.16826,1,0.0038347,0.0012536,-0.003584,0,-0.00256,0.17189,8.4402e-07,-0.22827,-0.22827,0
0.16834,1,0.0032743,0.0009591,-0.002048,1,-0.00128,0.17179,7.3232e-07,-0.075024,-0.075024,0
0.16844,0.99965,0.0029892,0.00050509,0.000512,1,0,0.17147,1.1462e-06,-0.67752,-0.67752,0
0.16853,0.99977,0.0031416,0.00069594,0.003072,2,0.00256,0.17157,1.3326e-06,-0.62561,-0.62561,0
0.16863,0.99978,0.00332,0.00047314,0.000512,1,0,0.17179,1.333e-06,-0.94725,-0.94725,0
0.16872,0.99968,0.0033635,0.00042329,-0.000512,1,0,0.172,1.8298e-06,-0.52051,-0.52051,0
0.16882,0.99972,0.0033623,0.00042302,7.4279e-18,1,0,0.17211,1.8921e-06,-0.70499,-0.70499,0
0.16893,0.99974,0.0028339,0.00070012,-0.001024,1,-0.00128,0.17211,1.8921e-06,-0.70499,-0.70499,0
0.16903,1,0.0026662,0.0007144,-0.001024,2,0,0.17232,2.24e-06,-0.71973,-0.71973,0
0.16914,1,0.0023775,0.00074356,-0.001024,1,-0.00128,0.17243,2.2278e-06,-0.93504,-0.93504,0
0.16926,0.99977,0.0016702,0.0007531,-0.001548,1,-0.00129,0.17253,2.4886e-06,-0.86345,-0.86345,0
0.16937,0.99978,0.0018688,0.00089687,0.000508,1,0.00128,0.17317,4.4261e-06,0.49042,0.49042,0
0.16949,1,0.0022323,0.0013485,0.003076,1,0.00128,0.17349,4.6129e-06,0.14617,0.14617,0
0.16961,1,0.0027594,0.0015645,0.006156,2,0.00513,0.17371,4.3154e-06,-0.093986,-0.093986,0
0.16973,1,0.003423,0.00062503,0.000512,1,0,0.17413,2.2218e-06,1.6076,1.6076,0
0.16985,0.9998,0.0035293,0.00045462,-0.000512,1,0,0.17413,2.2218e-06,1.6076,1.6076,0
0.16997,0.99987,0.0035221,0.00044855,-2.3596e-17,1,0,0.17424,2.0852e-06,1.5871,1.5871,0
0.1701,0.99987,0.0032278,0.00041772,0.000512,1,0,0.17424,2.0852e-06,1.5871,1.5871,0
0.17023,0.99987,0.003468,0.00065074,0.001024,2,0.00128,0.17424,2.0852e-06,1.5871,1.5871,0
0.17035,0.99987,0.0044135,0.0017088,0.00512,2,0.00384,0.17424,2.0852e-06,1.5871,1.5871,0
0.17048,0.99987,0.004761,0.0016821,0.004608,2,0.00256,0.17424,2.0852e-06,1.5871,1.5871,0
0.1706,0.99987,0.004934,0.0014332,-0.001024,1,0,0.17435,1.9239e-06,1.6241,1.6241,0
0.17072,0.99987,0.0046524,0.0017057,-0.00512,0,-0.00384,0.17435,1.9239e-06,1.6241,1.6241,0
0.17085,0.99987,0.0035129,0.0012292,-0.003072,0,-0.00256,0.17403,5.4613e-07,-0.05482,-0.05482,0
0.17097,0.99987,0.0029376,0.00051974,-0.000512,1,0,0.17403,5.4613e-07,-0.05482,-0.05482,0
0.1711,0.9998,0.0027886,0.00036135,0.000512,1,0,0.17403,5.4613e-07,-0.05482,-0.05482,0
0.17122,1,0.0024217,0.00061101,8.4763e-17,1,0,0.17413,7.3232e-07,0.075024,0.075024,0
0.17134,0.99978,0.0022512,0.00074925,-0.002048,0,-0.00128,0.17435,7.3232e-07,-0.075024,-0.075024,0
0.17145,0.99985,0.0021374,0.00064908,-1.1059e-16,1,0,0.17424,8.9367e-07,1.8394e-13,1.8394e-13,0
0.17157,0.99985,0.0020623,0.00053652,0.002048,1,0.00128,0.17435,1.0302e-06,-0.14018,-0.14018,0
0.17168,0.99977,0.0022178,0.00045005,0.001536,1,0.00128,0.17456,9.3091e-07,-0.41569,-0.41569,0
0.1718,1,0.0024667,0.00016825,5.5694e-17,0,0,0.17477,7.3232e-07,-0.63991,-0.63991,0
