@RELATION <eda-dataset-normc>

@ATTRIBUTE scl_mean NUMERIC
@ATTRIBUTE scl_correlation NUMERIC
@ATTRIBUTE scr_mean NUMERIC
@ATTRIBUTE scr_std NUMERIC
@ATTRIBUTE eda_slope NUMERIC
@ATTRIBUTE eda_greater_v NUMERIC
@ATTRIBUTE eda_difference NUMERIC
@ATTRIBUTE eda_mean NUMERIC
@ATTRIBUTE eda_variance NUMERIC
@ATTRIBUTE eda_skewness NUMERIC
@ATTRIBUTE eda_kurtosis NUMERIC

@ATTRIBUTE class {0,1}

@DATA
0.0047832,0.0063457,0.0072996,0.0085226,0.0011991,0.0053482,0.0037953,0.0048137,0.0040442,0.0015424,0.0015424,0
0.0047856,0.0063488,0.0076371,0.007245,-0.0084028,0.0053482,-0.0075906,0.004817,0.0036201,0.0013025,0.0013025,0
0.0047881,0.0063561,0.0066352,0.0038368,-0.0024169,0.0053482,-0.003825,0.0048105,0.0020061,-0.0084008,-0.0084008,0
0.0047909,0.0063587,0.0059444,0.0016792,0.0024169,0.010696,0.003825,0.0048203,0.0050911,0.0059986,0.0059986,0
0.0047938,0.0063504,0.0050272,0.0073215,-0.0096112,0.0053482,-0.011416,0.0048269,0.0054954,0.0037806,0.0037806,0
0.0047969,0.0063543,0.0043913,0.0066082,-0.0036066,0.010696,0,0.0048269,0.0054954,0.0037806,0.0037806,0
0.0048002,0.0063549,0.0044122,0.0067096,0.0023981,0.010696,0,0.0048334,0.0057375,0.0018251,0.0018251,0
0.0048036,0.0063551,0.0041574,0.0062943,0.0084028,0.010696,0.0075906,0.0048367,0.0060409,0.00089054,0.00089054,0
0.0048072,0.0063555,0.0046207,0.0041249,-0.0012084,0.0053482,0,0.0048564,0.0055545,0.0045591,0.0045591,0
0.004811,0.0063556,0.0045614,0.0043263,-0.0036253,0,-0.003825,0.0048663,0.0054917,0.0025775,0.0025775,0
0.0048148,0.0063579,0.0045908,0.004532,0.0036253,0.0053482,0.003825,0.0048695,0.005392,0.0015816,0.0015816,0
0.0048188,0.0063575,0.0061286,0.011533,0.015625,0.010696,0.015211,0.0048827,0.0055489,0.00022356,0.00022356,0
0.0048229,0.0063576,0.0070918,0.010355,0.01082,0.010696,0.0076203,0.0048991,0.0060456,0.0004963,0.0004963,0
0.0048271,0.0063576,0.0075079,0.0081464,-0.0023981,0.0053482,0,0.0049122,0.0047484,0.00046408,0.00046408,0
0.0048314,0.0063587,0.007479,0.0082164,-0.0083934,0.0053482,-0.0075906,0.0049188,0.0038631,1.7524e-16,1.7524e-16,0
0.0048358,0.0063587,0.0066912,0.0040097,0.0011991,0.0053482,0,0.0049122,0.0037826,0.0020349,0.0020349,0
0.0048402,0.0063577,0.007203,0.0069975,0.010792,0.010696,0.011386,0.0049155,0.0036016,0.0010177,0.0010177,0
0.0048447,0.0063578,0.0079554,0.0053861,0.0059953,0.0053482,0.0037953,0.0049319,0.004507,0.0039559,0.0039559,0
0.0048493,0.0063578,0.0079816,0.0052475,-0.0011991,0.0053482,0,0.0049351,0.0040844,0.0039994,0.0039994,0
0.0048539,0.0063581,0.0085368,0.0056639,-0.0011991,0.0053482,0,0.0049384,0.0036217,0.0044262,0.0044262,0
0.0048585,0.0063578,0.0089456,0.0076825,0.0095925,0.010696,0.0075906,0.0049351,0.0036016,0.00576,0.00576,0
0.0048631,0.0063587,0.0092302,0.0075551,0.0083934,0.010696,0.0075906,0.0049351,0.0036016,0.00576,0.00576,0
0.0048679,0.0063579,0.0093705,0.0066554,-0.0047962,0.0053482,-0.0037953,0.0049384,0.0031388,0.0068574,0.0068574,0
0.0048727,0.0063581,0.0081328,0.010689,-0.011991,0,-0.011386,0.0049384,0.0031388,0.0068574,0.0068574,0
0.0048774,0.0063579,0.0071235,0.0071295,-0.0047962,0.0053482,-0.0037953,0.0049319,0.0025754,0.010388,0.010388,0
0.0048821,0.0063578,0.0074824,0.0093158,0.011991,0.010696,0.011386,0.0049253,0.0028169,0.010814,0.010814,0
0.0048867,0.0063581,0.0075582,0.0092586,0.0071944,0.010696,0.0037953,0.0049351,0.0045673,0.0074191,0.0074191,0
0.0048913,0.0063578,0.0077068,0.0084757,-0.0035972,0.0053482,0,0.0049417,0.0040844,0.0070876,0.0070876,0
0.0048959,0.0063578,0.0073042,0.009188,-0.010792,0,-0.011386,0.004945,0.0040241,0.0060186,0.0060186,0
0.0049005,0.0063581,0.0058564,0.0035725,1.8808e-17,0,0,0.0049384,0.0026559,0.0070482,0.0070482,0
0.004905,0.0063581,0.0053871,0.0010876,2.3319e-17,0,0,0.0049417,0.0026358,0.0056521,0.0056521,0
