1.535.125.280;[sample number];[timestamp per row];[timestamp from unix to excel friendly with timezone offset];[second];[binomial];[label];;FECHA Y HORA INICIAL;;;
3.666.779;76;1535125299,00;10:41:39,00;19;0;nonseizure;;;;;
3.661.655;77;1535125299,25;10:41:39,25;19,25;0;nonseizure;;;;;
3.662.936;78;1535125299,50;10:41:39,50;19,5;0;nonseizure;;;;;
3.662.936;79;1535125299,75;10:41:39,75;19,75;0;nonseizure;;;;;
3.653.969;80;1535125300,00;10:41:40,00;20;0;nonseizure;;;;;
3.638.598;81;1535125300,25;10:41:40,25;20,25;0;nonseizure;;;;;
3.639.879;82;1535125300,50;10:41:40,50;20,5;0;nonseizure;;;;;
3.646.283;83;1535125300,75;10:41:40,75;20,75;0;nonseizure;;;;;
3.652.688;84;1535125301,00;10:41:41,00;21;0;nonseizure;;;;;
3.668.059;85;1535125301,25;10:41:41,25;21,25;0;nonseizure;;;;;
3.677.026;86;1535125301,50;10:41:41,50;21,5;0;nonseizure;;;;;
3.679.588;87;1535125301,75;10:41:41,75;21,75;0;nonseizure;;;;;
3.679.588;88;1535125302,00;10:41:42,00;22;0;nonseizure;;;;;
3.673.183;89;1535125302,25;10:41:42,25;22,25;0;nonseizure;;;;;
3.668.059;90;1535125302,50;10:41:42,50;22,5;0;nonseizure;;;;;
3.666.779;91;1535125302,75;10:41:42,75;22,75;0;nonseizure;;;;;
3.657.812;92;1535125303,00;10:41:43,00;23;0;nonseizure;;;;;
3.651.407;93;1535125303,25;10:41:43,25;23,25;0;nonseizure;;;;;
3.656.531;94;1535125303,50;10:41:43,50;23,5;0;nonseizure;;;;;
3.665.498;95;1535125303,75;10:41:43,75;23,75;0;nonseizure;;;;;
3.660.374;96;1535125304,00;10:41:44,00;24;0;nonseizure;;;;;
3.668.059;97;1535125304,25;10:41:44,25;24,25;0;nonseizure;;;;;
3.498.975;98;1535125304,50;10:41:44,50;24,5;0;nonseizure;;;;;
3.693.678;99;1535125304,75;10:41:44,75;24,75;0;nonseizure;;;;;
3.759.007;100;1535125305,00;10:41:45,00;25;0;nonseizure;;;;;
3.753.883;101;1535125305,25;10:41:45,25;25,25;0;nonseizure;;;;;
3.744.916;102;1535125305,50;10:41:45,50;25,5;0;nonseizure;;;;;
3.739.792;103;1535125305,75;10:41:45,75;25,75;0;nonseizure;;;;;
3.729.545;104;1535125306,00;10:41:46,00;26;0;nonseizure;;;;;
3.719.297;105;1535125306,25;10:41:46,25;26,25;0;nonseizure;;;;;
3.709.050;106;1535125306,50;10:41:46,50;26,5;0;nonseizure;;;;;
3.701.364;107;1535125306,75;10:41:46,75;26,75;0;nonseizure;;;;;
3.696.240;108;1535125307,00;10:41:47,00;27;0;nonseizure;;;;;
3.692.397;109;1535125307,25;10:41:47,25;27,25;0;nonseizure;;;;;
3.685.993;110;1535125307,50;10:41:47,50;27,5;0;nonseizure;;;;;
3.689.836;111;1535125307,75;10:41:47,75;27,75;0;nonseizure;;;;;
3.679.588;112;1535125308,00;10:41:48,00;28;0;nonseizure;;;;;
3.677.026;113;1535125308,25;10:41:48,25;28,25;0;nonseizure;;;;;
3.674.464;114;1535125308,50;10:41:48,50;28,5;0;nonseizure;;;;;
3.661.655;115;1535125308,75;10:41:48,75;28,75;0;nonseizure;;;;;
3.668.059;116;1535125309,00;10:41:49,00;29;0;nonseizure;;;;;
3.701.364;117;1535125309,25;10:41:49,25;29,25;0;nonseizure;;;;;
3.771.816;118;1535125309,50;10:41:49,50;29,5;0;nonseizure;;;;;
3.839.706;119;1535125309,75;10:41:49,75;29,75;0;nonseizure;;;;;
3.894.787;120;1535125310,00;10:41:50,00;30;0;nonseizure;;;;;
3.911.439;121;1535125310,25;10:41:50,25;30,25;0;nonseizure;;;;;
3.922.968;122;1535125310,50;10:41:50,50;30,5;0;nonseizure;;;;;
3.910.158;123;1535125310,75;10:41:50,75;30,75;0;nonseizure;;;;;
3.888.382;124;1535125311,00;10:41:51,00;31;0;nonseizure;;;;;
3.866.606;125;1535125311,25;10:41:51,25;31,25;0;nonseizure;;;;;
3.849.954;126;1535125311,50;10:41:51,50;31,5;0;nonseizure;;;;;
3.834.582;127;1535125311,75;10:41:51,75;31,75;0;nonseizure;;;;;
3.820.492;128;1535125312,00;10:41:52,00;32;0;nonseizure;;;;;
3.816.649;129;1535125312,25;10:41:52,25;32,25;0;nonseizure;;;;;
3.814.087;130;1535125312,50;10:41:52,50;32,5;0;nonseizure;;;;;
3.801.278;131;1535125312,75;10:41:52,75;32,75;0;nonseizure;;;;;
3.819.211;132;1535125313,00;10:41:53,00;33;0;nonseizure;;;;;
3.881.977;133;1535125313,25;10:41:53,25;33,25;0;nonseizure;;;;;
3.975.486;134;1535125313,50;10:41:53,50;33,5;0;nonseizure;;;;;
4.074.029;135;1535125313,75;10:41:53,75;33,75;0;nonseizure;;;;;
4.134.233;136;1535125314,00;10:41:54,00;34;0;nonseizure;;;;;
4.161.133;137;1535125314,25;10:41:54,25;34,25;0;nonseizure;;;;;
4.163.695;138;1535125314,50;10:41:54,50;34,5;0;nonseizure;;;;;
4.149.605;139;1535125314,75;10:41:54,75;34,75;0;nonseizure;;;;;
4.162.414;140;1535125315,00;10:41:55,00;35;0;nonseizure;;;;;
4.154.728;141;1535125315,25;10:41:55,25;35,25;0;nonseizure;;;;;
4.149.605;142;1535125315,50;10:41:55,50;35,5;0;nonseizure;;;;;
4.136.795;143;1535125315,75;10:41:55,75;35,75;0;nonseizure;;;;;
4.118.862;144;1535125316,00;10:41:56,00;36;0;nonseizure;;;;;
4.102.210;145;1535125316,25;10:41:56,25;36,25;0;nonseizure;;;;;
4.152.166;146;1535125316,50;10:41:56,50;36,5;0;nonseizure;;;;;
4.244.395;147;1535125316,75;10:41:56,75;36,75;0;nonseizure;;;;;
4.326.375;148;1535125317,00;10:41:57,00;37;0;nonseizure;;;;;
4.373.770;149;1535125317,25;10:41:57,25;37,25;0;nonseizure;;;;;
4.408.356;150;1535125317,50;10:41:57,50;37,5;0;nonseizure;;;;;
4.426.289;151;1535125317,75;10:41:57,75;37,75;0;nonseizure;;;;;
4.432.693;152;1535125318,00;10:41:58,00;38;0;nonseizure;;;;;
4.430.871;153;1535125318,25;10:41:58,25;38,25;0;nonseizure;;;;;
4.393.724;154;1535125318,50;10:41:58,50;38,5;0;nonseizure;;;;;
4.360.419;155;1535125318,75;10:41:58,75;38,75;0;nonseizure;;;;;
4.323.272;156;1535125319,00;10:41:59,00;39;0;nonseizure;;;;;
4.314.305;157;1535125319,25;10:41:59,25;39,25;0;nonseizure;;;;;
4.324.553;158;1535125319,50;10:41:59,50;39,5;0;nonseizure;;;;;
4.361.700;159;1535125319,75;10:41:59,75;39,75;0;nonseizure;;;;;
4.432.152;160;1535125320,00;10:42:00,00;40;0;nonseizure;;;;;
4.491.076;161;1535125320,25;10:42:00,25;40,25;0;nonseizure;;;;;
4.516.695;162;1535125320,50;10:42:00,50;40,5;0;nonseizure;;;;;
4.514.133;163;1535125320,75;10:42:00,75;40,75;0;nonseizure;;;;;
4.493.638;164;1535125321,00;10:42:01,00;41;0;nonseizure;;;;;
4.474.423;165;1535125321,25;10:42:01,25;41,25;0;nonseizure;;;;;
4.425.747;166;1535125321,50;10:42:01,50;41,5;0;nonseizure;;;;;
4.392.443;167;1535125321,75;10:42:01,75;41,75;0;nonseizure;;;;;
4.360.419;168;1535125322,00;10:42:02,00;42;0;nonseizure;;;;;
4.336.082;169;1535125322,25;10:42:02,25;42,25;0;nonseizure;;;;;
4.319.429;170;1535125322,50;10:42:02,50;42,5;0;nonseizure;;;;;
4.300.215;171;1535125322,75;10:42:02,75;42,75;0;nonseizure;;;;;
4.330.957;172;1535125323,00;10:42:03,00;43;0;nonseizure;;;;;
4.329.677;173;1535125323,25;10:42:03,25;43,25;0;nonseizure;;;;;
4.316.867;174;1535125323,50;10:42:03,50;43,5;0;nonseizure;;;;;
4.316.867;175;1535125323,75;10:42:03,75;43,75;0;nonseizure;;;;;
4.324.553;176;1535125324,00;10:42:04,00;44;0;nonseizure;;;;;
4.307.900;177;1535125324,25;10:42:04,25;44,25;0;nonseizure;;;;;
4.311.743;178;1535125324,50;10:42:04,50;44,5;0;nonseizure;;;;;
4.298.934;179;1535125324,75;10:42:04,75;44,75;0;nonseizure;;;;;
4.284.843;180;1535125325,00;10:42:05,00;45;0;nonseizure;;;;;
4.316.867;181;1535125325,25;10:42:05,25;45,25;0;nonseizure;;;;;
4.378.353;182;1535125325,50;10:42:05,50;45,5;0;nonseizure;;;;;
4.427.029;183;1535125325,75;10:42:05,75;45,75;0;nonseizure;;;;;
4.461.614;184;1535125326,00;10:42:06,00;46;0;nonseizure;;;;;
4.466.738;185;1535125326,25;10:42:06,25;46,25;0;nonseizure;;;;;
4.455.209;186;1535125326,50;10:42:06,50;46,5;0;nonseizure;;;;;
4.433.433;187;1535125326,75;10:42:06,75;46,75;0;nonseizure;;;;;
4.402.690;188;1535125327,00;10:42:07,00;47;0;nonseizure;;;;;
4.370.667;189;1535125327,25;10:42:07,25;47,25;0;nonseizure;;;;;
4.352.734;190;1535125327,50;10:42:07,50;47,5;0;nonseizure;;;;;
4.333.519;191;1535125327,75;10:42:07,75;47,75;0;nonseizure;;;;;
4.323.272;192;1535125328,00;10:42:08,00;48;0;nonseizure;;;;;
4.327.115;193;1535125328,25;10:42:08,25;48,25;0;nonseizure;;;;;
4.324.553;194;1535125328,50;10:42:08,50;48,5;0;nonseizure;;;;;
4.237.449;195;1535125328,75;10:42:08,75;48,75;0;nonseizure;;;;;
4.237.449;196;1535125329,00;10:42:09,00;49;0;nonseizure;;;;;
4.264.349;197;1535125329,25;10:42:09,25;49,25;0;nonseizure;;;;;
4.272.034;198;1535125329,50;10:42:09,50;49,5;0;nonseizure;;;;;
4.263.067;199;1535125329,75;10:42:09,75;49,75;0;nonseizure;;;;;
4.252.820;200;1535125330,00;10:42:10,00;50;0;nonseizure;;;;;
4.250.258;201;1535125330,25;10:42:10,25;50,25;0;nonseizure;;;;;
4.298.934;202;1535125330,50;10:42:10,50;50,5;0;nonseizure;;;;;
4.443.681;203;1535125330,75;10:42:10,75;50,75;0;nonseizure;;;;;
4.608.922;204;1535125331,00;10:42:11,00;51;0;nonseizure;;;;;
4.726.770;205;1535125331,25;10:42:11,25;51,25;0;nonseizure;;;;;
4.808.750;206;1535125331,50;10:42:11,50;51,5;0;nonseizure;;;;;
4.831.807;207;1535125331,75;10:42:11,75;51,75;0;nonseizure;;;;;
4.822.841;208;1535125332,00;10:42:12,00;52;0;nonseizure;;;;;
4.780.570;209;1535125332,25;10:42:12,25;52,25;0;nonseizure;;;;;
4.747.265;210;1535125332,50;10:42:12,50;52,5;0;nonseizure;;;;;
4.693.465;211;1535125332,75;10:42:12,75;52,75;0;nonseizure;;;;;
4.665.284;212;1535125333,00;10:42:13,00;53;0;nonseizure;;;;;
4.680.655;213;1535125333,25;10:42:13,25;53,25;0;nonseizure;;;;;
4.685.780;214;1535125333,50;10:42:13,50;53,5;0;nonseizure;;;;;
4.697.308;215;1535125333,75;10:42:13,75;53,75;0;nonseizure;;;;;
4.692.184;216;1535125334,00;10:42:14,00;54;0;nonseizure;;;;;
4.671.689;217;1535125334,25;10:42:14,25;54,25;0;nonseizure;;;;;
4.648.632;218;1535125334,50;10:42:14,50;54,5;0;nonseizure;;;;;
4.626.856;219;1535125334,75;10:42:14,75;54,75;0;nonseizure;;;;;
4.599.956;220;1535125335,00;10:42:15,00;55;0;nonseizure;;;;;
4.576.899;221;1535125335,25;10:42:15,25;55,25;0;nonseizure;;;;;
4.553.842;222;1535125335,50;10:42:15,50;55,5;0;nonseizure;;;;;
4.535.909;223;1535125335,75;10:42:15,75;55,75;0;nonseizure;;;;;
4.528.223;224;1535125336,00;10:42:16,00;56;0;nonseizure;;;;;
4.521.819;225;1535125336,25;10:42:16,25;56,25;0;nonseizure;;;;;
4.510.290;226;1535125336,50;10:42:16,50;56,5;0;nonseizure;;;;;
4.515.414;227;1535125336,75;10:42:16,75;56,75;0;nonseizure;;;;;
4.532.066;228;1535125337,00;10:42:17,00;57;0;nonseizure;;;;;
4.528.223;229;1535125337,25;10:42:17,25;57,25;0;nonseizure;;;;;
4.529.504;230;1535125337,50;10:42:17,50;57,5;0;nonseizure;;;;;
4.528.223;231;1535125337,75;10:42:17,75;57,75;0;nonseizure;;;;;
4.515.414;232;1535125338,00;10:42:18,00;58;0;nonseizure;;;;;
4.505.166;233;1535125338,25;10:42:18,25;58,25;0;nonseizure;;;;;
4.515.414;234;1535125338,50;10:42:18,50;58,5;0;nonseizure;;;;;
4.512.852;235;1535125338,75;10:42:18,75;58,75;0;nonseizure;;;;;
4.494.918;236;1535125339,00;10:42:19,00;59;0;nonseizure;;;;;
4.487.233;237;1535125339,25;10:42:19,25;59,25;0;nonseizure;;;;;
4.488.514;238;1535125339,50;10:42:19,50;59,5;0;nonseizure;;;;;
4.480.828;239;1535125339,75;10:42:19,75;59,75;0;nonseizure;;;;;
4.478.266;240;1535125340,00;10:42:20,00;60;0;nonseizure;;;;;
4.469.300;241;1535125340,25;10:42:20,25;60,25;0;nonseizure;;;;;
4.474.423;242;1535125340,50;10:42:20,50;60,5;0;nonseizure;;;;;
4.466.738;243;1535125340,75;10:42:20,75;60,75;0;nonseizure;;;;;
4.460.333;244;1535125341,00;10:42:21,00;61;0;nonseizure;;;;;
4.455.209;245;1535125341,25;10:42:21,25;61,25;0;nonseizure;;;;;
4.446.243;246;1535125341,50;10:42:21,50;61,5;0;nonseizure;;;;;
4.441.119;247;1535125341,75;10:42:21,75;61,75;0;nonseizure;;;;;
4.437.276;248;1535125342,00;10:42:22,00;62;0;nonseizure;;;;;
4.429.590;249;1535125342,25;10:42:22,25;62,25;0;nonseizure;;;;;
4.423.186;250;1535125342,50;10:42:22,50;62,5;0;nonseizure;;;;;
4.432.152;251;1535125342,75;10:42:22,75;62,75;0;nonseizure;;;;;
4.421.905;252;1535125343,00;10:42:23,00;63;0;nonseizure;;;;;
4.416.781;253;1535125343,25;10:42:23,25;63,25;0;nonseizure;;;;;
4.415.500;254;1535125343,50;10:42:23,50;63,5;0;nonseizure;;;;;
4.405.252;255;1535125343,75;10:42:23,75;63,75;0;nonseizure;;;;;
4.428.309;256;1535125344,00;10:42:24,00;64;0;nonseizure;;;;;
4.473.143;257;1535125344,25;10:42:24,25;64,25;0;nonseizure;;;;;
4.538.471;258;1535125344,50;10:42:24,50;64,5;0;nonseizure;;;;;
4.585.865;259;1535125344,75;10:42:24,75;64,75;0;nonseizure;;;;;
4.610.204;260;1535125345,00;10:42:25,00;65;0;nonseizure;;;;;
4.617.889;261;1535125345,25;10:42:25,25;65,25;0;nonseizure;;;;;
4.605.080;262;1535125345,50;10:42:25,50;65,5;0;nonseizure;;;;;
4.582.023;263;1535125345,75;10:42:25,75;65,75;0;nonseizure;;;;;
4.561.528;264;1535125346,00;10:42:26,00;66;0;nonseizure;;;;;
4.533.347;265;1535125346,25;10:42:26,25;66,25;0;nonseizure;;;;;
4.517.976;266;1535125346,50;10:42:26,50;66,5;0;nonseizure;;;;;
4.503.885;267;1535125346,75;10:42:26,75;66,75;0;nonseizure;;;;;
4.489.795;268;1535125347,00;10:42:27,00;67;0;nonseizure;;;;;
4.488.514;269;1535125347,25;10:42:27,25;67,25;0;nonseizure;;;;;
4.473.143;270;1535125347,50;10:42:27,50;67,5;0;nonseizure;;;;;
4.471.861;271;1535125347,75;10:42:27,75;67,75;0;nonseizure;;;;;
4.466.738;272;1535125348,00;10:42:28,00;68;0;nonseizure;;;;;
4.459.052;273;1535125348,25;10:42:28,25;68,25;0;nonseizure;;;;;
4.455.209;274;1535125348,50;10:42:28,50;68,5;0;nonseizure;;;;;
4.452.647;275;1535125348,75;10:42:28,75;68,75;0;nonseizure;;;;;
4.456.490;276;1535125349,00;10:42:29,00;69;0;nonseizure;;;;;
4.468.019;277;1535125349,25;10:42:29,25;69,25;0;nonseizure;;;;;
4.462.895;278;1535125349,50;10:42:29,50;69,5;0;nonseizure;;;;;
4.457.771;279;1535125349,75;10:42:29,75;69,75;0;nonseizure;;;;;
4.452.647;280;1535125350,00;10:42:30,00;70;0;nonseizure;;;;;
4.447.524;281;1535125350,25;10:42:30,25;70,25;0;nonseizure;;;;;
4.430.871;282;1535125350,50;10:42:30,50;70,5;0;nonseizure;;;;;
4.425.747;283;1535125350,75;10:42:30,75;70,75;0;nonseizure;;;;;
4.420.624;284;1535125351,00;10:42:31,00;71;0;nonseizure;;;;;
4.434.714;285;1535125351,25;10:42:31,25;71,25;0;nonseizure;;;;;
4.483.390;286;1535125351,50;10:42:31,50;71,5;0;nonseizure;;;;;
4.560.247;287;1535125351,75;10:42:31,75;71,75;0;nonseizure;;;;;
4.621.732;288;1535125352,00;10:42:32,00;72;0;nonseizure;;;;;
4.671.689;289;1535125352,25;10:42:32,25;72,25;0;nonseizure;;;;;
