0.081976;16;1535121335;35:35,0;4;0;nonseizure
0.081976;17;1535121335;35:35,2;4,25;0;nonseizure
0.080695;18;1535121336;35:35,5;4,5;0;nonseizure
0.080695;19;1535121336;35:35,7;4,75;0;nonseizure
0.080695;20;1535121336;35:36,0;5;0;nonseizure
0.079414;21;1535121336;35:36,2;5,25;0;nonseizure
0.078133;22;1535121337;35:36,5;5,5;0;nonseizure
0.078133;23;1535121337;35:36,8;5,75;0;nonseizure
0.078133;24;1535121337;35:37,0;6;0;nonseizure
0.079414;25;1535121337;35:37,3;6,25;0;nonseizure
0.076852;26;1535121338;35:37,5;6,5;0;nonseizure
0.076852;27;1535121338;35:37,7;6,75;0;nonseizure
0.076852;28;1535121338;35:38,0;7;0;nonseizure
0.076852;29;1535121338;35:38,2;7,25;0;nonseizure
0.076852;30;1535121339;35:38,5;7,5;0;nonseizure
0.075571;31;1535121339;35:38,8;7,75;0;nonseizure
0.075571;32;1535121339;35:39,0;8;0;nonseizure
0.076852;33;1535121339;35:39,3;8,25;0;nonseizure
0.075571;34;1535121340;35:39,5;8,5;0;nonseizure
0.075571;35;1535121340;35:39,7;8,75;0;nonseizure
0.075571;36;1535121340;35:40,0;9;0;nonseizure
0.07429;37;1535121340;35:40,2;9,25;0;nonseizure
0.073009;38;1535121341;35:40,5;9,5;0;nonseizure
0.075571;39;1535121341;35:40,8;9,75;0;nonseizure
0.07429;40;1535121341;35:41,0;10;0;nonseizure
0.075571;41;1535121341;35:41,3;10,25;0;nonseizure
0.07429;42;1535121342;35:41,5;10,5;0;nonseizure
0.07429;43;1535121342;35:41,7;10,75;0;nonseizure
0.07429;44;1535121342;35:42,0;11;0;nonseizure
0.07429;45;1535121342;35:42,2;11,25;0;nonseizure
0.07429;46;1535121343;35:42,5;11,5;0;nonseizure
0.07429;47;1535121343;35:42,8;11,75;0;nonseizure
0.073009;48;1535121343;35:43,0;12;0;nonseizure
0.07429;49;1535121343;35:43,2;12,25;0;nonseizure
0.07429;50;1535121344;35:43,5;12,5;0;nonseizure
0.073009;51;1535121344;35:43,7;12,75;0;nonseizure
0.073009;52;1535121344;35:44,0;13;0;nonseizure
0.073009;53;1535121344;35:44,2;13,25;0;nonseizure
0.073009;54;1535121345;35:44,5;13,5;0;nonseizure
0.073009;55;1535121345;35:44,7;13,75;0;nonseizure
0.073009;56;1535121345;35:45,0;14;0;nonseizure
0.07429;57;1535121345;35:45,2;14,25;0;nonseizure
0.07429;58;1535121346;35:45,5;14,5;0;nonseizure
0.073009;59;1535121346;35:45,7;14,75;0;nonseizure
0.073009;60;1535121346;35:46,0;15;0;nonseizure
0.07429;61;1535121346;35:46,3;15,25;0;nonseizure
0.073009;62;1535121347;35:46,5;15,5;0;nonseizure
0.073009;63;1535121347;35:46,8;15,75;0;nonseizure
0.073009;64;1535121347;35:47,0;16;0;nonseizure
0.073009;65;1535121347;35:47,2;16,25;0;nonseizure
0.073009;66;1535121348;35:47,5;16,5;0;nonseizure
0.073009;67;1535121348;35:47,7;16,75;0;nonseizure
0.071729;68;1535121348;35:48,0;17;0;nonseizure
0.07429;69;1535121348;35:48,3;17,25;0;nonseizure
0.073009;70;1535121349;35:48,5;17,5;0;nonseizure
0.073009;71;1535121349;35:48,8;17,75;0;nonseizure
0.07429;72;1535121349;35:49,0;18;0;nonseizure
0.073009;73;1535121349;35:49,2;18,25;0;nonseizure
0.073009;74;1535121350;35:49,5;18,5;0;nonseizure
0.073009;75;1535121350;35:49,7;18,75;0;nonseizure
0.073009;76;1535121350;35:50,0;19;0;nonseizure
